날짜,금액,소분류,업종코드,대분류,중분류
2023.2.11,-15892,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.2.11,-10000,기타요식,ss008,요식/유흥,기타요식
2023.2.10,-2750,편의점,ss016,유통,편의점
2023.2.10,-4100,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.2.9,-7900,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.2.6,-6000,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.2.6,-6370,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.2.6,-8450,온라인거래,ss068,전자상거래,전자상거래
2023.2.6,-26700,교통,ss040,여행/교통,교통
2023.2.6,-26700,결제대행(PG),ss069,전자상거래,전자상거래
2023.2.5,-15660,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.2.4,-3800,교통,ss040,여행/교통,교통
2023.2.4,-6000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.2.4,-28000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.2.4,-180000,한식,ss001,요식/유흥,한식
2023.2.3,-7400,편의점,ss016,유통,편의점
2023.2.3,-15800,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.2.3,-11200,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.2.3,-33000,일식,ss002,요식/유흥,일식/중식/양식
2023.2.1,-2695,온라인거래,ss068,전자상거래,전자상거래
2023.2.1,-32105,온라인거래,ss068,전자상거래,전자상거래
2023.1.31,-53000,한식,ss001,요식/유흥,한식
2023.1.31,-4990,온라인거래,ss068,전자상거래,전자상거래
2023.1.29,-35801,결제대행(PG),ss069,전자상거래,전자상거래
2023.1.27,-40400,교통,ss040,여행/교통,교통
2023.1.27,-19350,온라인거래,ss068,전자상거래,전자상거래
2023.1.27,44205,화장품,ss043,미용,화장품
2023.1.27,2695,화장품,ss043,미용,화장품
2023.1.26,-6700,편의점,ss016,유통,편의점
2023.1.26,-44205,화장품,ss043,미용,화장품
2023.1.26,-2695,화장품,ss043,미용,화장품
2023.1.25,-40100,교통,ss040,여행/교통,교통
2023.1.23,-2300,편의점,ss016,유통,편의점
2023.1.22,-10000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.1.21,-5310,온라인거래,ss068,전자상거래,전자상거래
2023.1.21,-70000,기타요식,ss008,요식/유흥,기타요식
2023.1.20,-10000,한식,ss001,요식/유흥,한식
2023.1.20,-16500,교통,ss040,여행/교통,교통
2023.1.20,-16500,교통,ss040,여행/교통,교통
2023.1.19,-4800,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.1.19,-34000,한식,ss001,요식/유흥,한식
2023.1.17,-1500,슈퍼마켓,ss014,유통,할인점/슈퍼마켓
2023.1.17,-16800,온라인거래,ss068,전자상거래,전자상거래
2023.1.17,-15500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
