name,category,benefits
삼성카드 taptap S,"['포인트/캐시백', '주유소', '영화/공연']","['모든 가맹점 1% 빅포인트 적립', '모든 주유소소·LPG충전소 2천원 할인', '모든 영화/공연관 5천원 결제일할인']"
CLUB Signature SKYPASS,"['프리미엄', 'Priority Pass', '항공']","['택1) 신라면세점 10만원 이용권택2) 호텔 한식/일식/중식/양식통합 12만원 이용권연 1회, 2가지 중 1가지 선택제공', '전세계 주요 라운지 무료입장!', '1,500원당 최대 2.0마일 적립']"
MY S-OIL 삼성카드,"['주유소', '포인트/캐시백', '커피전문점', '하이패스', '자동차서비스']","['S-OIL 10%  할인', 'S-OIL 포인트 적립 서비스', '스타벅스 DT 30% 결제일할인', '고속도로 통행료 10% 결제일할인', '주차장·대리운전 10% 할인']"
스타벅스 현대카드,"['커피전문점', '쇼핑', '포인트/캐시백', '결제대행(PG)', '교통', '문화', '화장품', '편의점', '한식/일식/중식/양식', '할인점/슈퍼마켓', '교육', '영화/공연', '통신', '종합병원/일반병원/치과병원/한의원/약국/기타의료', '프리미엄', '반려동물', '금융', '자동차서비스', '주유소', '렌탈', '육아', '레저']","['카페업종 이용 시 스타벅스 별 적립', '쇼핑업종 이용 시 스타벅스 별 적립', '누적 이용금액 기준 스타벅스 별 적립', '결제대행(PG) 이용 시 스타벅스 별 적립', '교통 이용 시 스타벅스 별 적립', '문화업종 이용 시 스타벅스 별 적립', '화장품업종 이용 시 스타벅스 별 적립', '편의점 이용 시 스타벅스 별 적립', '한식/일식/중식/양식업종 이용 시 스타벅스 별 적립', '할인점/슈퍼마켓 이용 시 스타벅스 별 적립', '교육업종 이용 시 스타벅스 별 적립', '영화/공연관 이용 시 스타벅스 별 적립', '통신업종 이용 시 스타벅스 별 적립', '종합병원/일반병원/치과병원/한의원/약국/기타의료업종 이용 시 스타벅스 별 적립', '프리미엄 이용 시 스타벅스 별 적립', '동물병원 이용 시 스타벅스 별 적립', '금융업종 이용 시 스타벅스 별 적립', '자동차서비스업종 이용 시 스타벅스 별 적립', '주유소소 이용 시 스타벅스 별 적립', '렌탈업종 이용 시 스타벅스 별 적립', '육아업종 이용 시 스타벅스 별 적립', '레저업종 이용 시 스타벅스 별 적립']"
IBK-Hybrid카드,"['체크카드겸용', '포인트/캐시백']","['한장으로 간편하게 하이브리드 서비스!마음대로 선택하는 신용+체크카드 기능', '전월실적 관계없이 신용0.6% 캐시백전월실적 관계없이 체크0.3% 캐시백']"
트레이더스 신세계 삼성카드,"['할인점/슈퍼마켓', '쇼핑', '통신', '커피전문점', '교육', '종합병원/일반병원/치과병원/한의원/약국/기타의료']","['트레이더스 최대 5% 결제일할인', '신세계백화점 5% 전자할인쿠폰 제공신세계백화점 무료주차권 제공신세계백화점 1천원당 2포인트 적립', '이동통신 5% 결제일할인', '커피전문점 5% 결제일할인', '학원·서점·학습지·인터넷강의 5%할인', '병원·약국 5% 결제일할인']"
L.CLASS L60 카드 (아시아나클럽형),"['항공', '바우처', '프리미엄', 'Priority Pass']","['1,000원당 1마일리지 적립', '스페셜기프트 연 1회 제공(아래 3개 중 1개 선택)', '롯데호텔, 롯데면세점, 골프프리미엄 서비스 제공', '국내외 공항라운지 무료이용(LoungeKey 서비스)공항 내 다양한 특별 혜택']"
olleh Super DC IBK카드,"['주유소', '한식/일식/중식/양식', '레저', '통신', '문화']","['전 주유소소 리터당 60원 할인', '아웃백/VIPS/TGIF 10%할인', '레저', 'KT 통신요금 청구 할인', '인터넷 예매시 1,500원 청구 할인']"
NH20 해봄카드,"['프리미엄', '레저', '쇼핑', '문화', '영화/공연', '통신', '커피전문점', '편의점', '교통', '주유소', '한식/일식/중식/양식']","['[여행해봄]인천 공항라운지 무료이용 서비스', '[놀이해봄]전국 놀이공원 최대 50% 현장할인', '온라인 쇼핑몰 10% 청구할인어플리케이션 2,000원 청구할인해외 전가맹점 이용금액 2% 청구할인', '온라인서점, 어학시험 10% 청구할인인터넷/모바일 교육콘텐츠 서비스 제공', 'CGV온라인예매 2,000원 청구할인', '이동통신 4,000원 청구할인', '스타벅스/이디야 커피 30% 청구할인', 'GS25 5% 청구할인GS리테일 POP 서비스', '교통 10% 청구할인', '주유소 5% 청구할인', '배달앱 10% 청구할인']"
LOCA LIKIT,"['연회비지원', '교통', '통신', '한식/일식/중식/양식', '커피전문점', '영화/공연']","['신규회원 연회비 100% 캐시백이벤트롯데카드 온라인신청 특별 혜택', 'LOCA LIKIT으로시내버스, 지하철 10% 결제일 할인', 'LOCA LIKIT으로이동통신 10% 결제일 할인', 'LOCA LIKIT으로배달앱 5% 결제일 할인', 'LOCA LIKIT으로스타벅스 최대 60% 할인', 'LOCA LIKIT으로롯데시네마·CGV 50% 결제일 할인']"
